label,dseeing_ori,dseeing_corr,dbeta_ori,dbeta_corr
40.8_-34.1,0.02192547109561945,0.002689226933819538,0.03646987921156342,0.003573035817205832
19.8_-31.2,0.02095630621149829,0.0007615660886334696,0.03435371746821508,0.0026118982657989025
27.3_-29.2,0.05164524996187375,0.007685802214271274,0.16099734384371503,0.044502151947957806
174.0_-0.5,0.03353580328349455,0.004906002638522375,0.07337518035057633,0.011668286472630891
340.4_-30.2,0.052293595309468886,0.008448028838240987,0.15040099691892586,0.04268487872915691
35.6_-33.1,0.029134835070683898,0.004033985434813691,0.06453440707981002,0.0106901178167087
353.1_-30.2,0.06034286498404802,0.011830446324646905,0.1530101770883459,0.042110940263132675
228.0_-0.5,0.06431824059840137,0.013463444119296833,0.23215336082759994,0.074472547636512
15.8_-28.2,0.04818587147707301,0.0066419192538962986,0.1086349574532081,0.02347202972077835
139.4_2.5,0.034689677728290916,0.0019290546867618856,0.056983169897197795,0.006826257438712763
336.5_-32.1,0.03846547533748648,0.005734471816820694,0.07691367426082636,0.016688593057341772
343.7_-31.2,0.02870817232491798,0.001988479537257748,0.04673986759905984,0.0049932078440693565
356.4_-34.1,0.04214660260207548,0.005580055142353499,0.08709409028774186,0.01794107554249232
183.0_1.5,0.05989559848711615,0.013188334824971814,0.22895211328858278,0.07403690187174025
47.8_-31.2,0.05358812606181936,0.009688620809243523,0.1611642048851469,0.041557026753379175
44.0_-33.1,0.057715300043809585,0.012334775619487679,0.18743034626460459,0.05039229542401141
226.0_0.5,0.03840583450482926,0.005006816435960454,0.08578712524084295,0.017640623103445576
178.5_2.5,0.03848447779447234,0.0039729090460156975,0.1307170038712195,0.023648089007456654
358.9_-29.2,0.02237038019398512,0.0006691221238297562,0.038849680100257494,0.003315586414735506
357.6_-33.1,0.03810384297592983,0.0049086619505367,0.08992282589745565,0.019718457079584046
217.6_2.5,0.07889692963595496,0.025144057696797024,0.27828843273110565,0.09564892887855946
338.4_-29.2,0.031326961424591716,0.0016290646296427142,0.04840123025250228,0.006513328056420589
14.0_-31.2,0.0260957493919289,0.000379063943509608,0.04625608761645783,0.00461686640931984
219.0_-0.5,0.043147422335303574,0.005214788795838131,0.1153336587406736,0.02520744717941575
31.9_-29.2,0.02743244631665467,0.003414544974187398,0.04741725163478774,0.007887951687770092
219.6_-2.5,0.04245924153996509,0.008533053205824185,0.09391398821086819,0.01897934177054972
45.4_-31.2,0.05105273838900724,0.008085173612097927,0.13133495967196912,0.03123060965107198
349.6_-30.2,0.036945340128294805,0.004814639448263267,0.07317342935912377,0.011978745953218177
333.8_-29.2,0.08282720972992619,0.026852184628022854,0.2974080776916301,0.10875151277707656
48.3_-30.2,0.06862303839955876,0.016676085144024806,0.27443176624721993,0.09828691995978195
48.0_-34.1,0.03200136174841053,0.0032204472773394426,0.06077767875213465,0.007960714831003348
51.1_-33.1,0.02812383605489503,0.0028856540328756203,0.05113559581617845,0.0074415084820585375
186.0_0.5,0.038485803658951705,0.0024689549771383253,0.08435074885077372,0.019293338411930486
164.0_0.5,0.036078118529097716,0.0037923981216755414,0.0706766788206033,0.015307950992237576
12.0_-34.1,0.02520184437038846,0.0003785551604516731,0.04122480632086821,0.00568735097469944
4.6_-30.2,0.059760268848153365,0.013989891788266304,0.17754937408230662,0.04948338334097494
336.0_-34.1,0.05188489682088019,0.008056359453343482,0.15436751182736697,0.041922419075639546
338.1_-30.2,0.029773216223574255,0.002602418961738499,0.06152843536031057,0.007712787662378455
141.0_0.5,0.04363633258602657,0.005685920491989378,0.10813132208266929,0.021718331343094387
52.4_-29.2,0.03596988661785918,0.0062006370024034335,0.08791656892211229,0.012935343748573193
2.4_-35.1,0.016591387560987884,0.00016162776202241025,0.024869030582401967,0.0009341444144409733
49.7_-28.2,0.02770246942986584,0.00361569280260334,0.05175024233926102,0.004637682905369099
214.6_2.5,0.04951966983110712,0.006206159647601264,0.14789190703280147,0.043173070683929685
47.5_-33.1,0.035927478092752874,0.0010085743368173578,0.07198847821504518,0.016037631684313814
221.6_-2.5,0.03834355226384541,0.002122265556967048,0.09291116129958311,0.02025224752897365
38.4_-34.1,0.04152820023614245,0.007123364792906659,0.1116397475472898,0.020882141383438965
351.9_-30.2,0.050452704713704805,0.006683842017300404,0.164202773575927,0.04476529284381897
354.1_-32.1,0.033024662979165585,0.002560128682193002,0.058927039216308846,0.008231203334364662
129.0_-1.5,0.080066541162431,0.01964323816033711,0.24539099401029085,0.0910912271388505
211.0_-1.5,0.05415661139303729,0.009662988184889584,0.16157911744167539,0.04104307276786653
